sample_id,iteration,seed,Percentage of burned trees
0,0,317082886777943988953653741373049140859,0.0245
0,1,314373658420163201137934133355177720975,0.0355
0,2,261586052854283491756012085585106426319,0.0205
0,3,76687213892708275292434298488452869993,0.0265
0,4,7691387930367049988738001052553504388,0.0385
0,5,213025133209422085098023945055084458665,0.037
0,6,103784541711460858814719792865012618019,0.0335
0,7,169423190598768251710842235291148041906,0.036
0,8,282144434969228899463292751807184191848,0.042
0,9,267710455954112645428374793202195135101,0.028
0,10,330772329309830822366808981599575740417,0.027
0,11,276004737479874649831723773716949699134,0.025
0,12,268843736246035110108275260712022808671,0.0225
0,13,123694732637506410107657603887491888762,0.0245
0,14,71722944307060601661166990980842406586,0.035
0,15,64362567810233391723883094583476370876,0.0385
0,16,301673027553662256381576009187286927270,0.042
0,17,332281518288865558286791596716907380782,0.028
0,18,272433008747906490917842451247594938360,0.035
0,19,64242078117327135327717091938353973193,0.034
0,20,39617341442716708460669168247448144268,0.024
0,21,296203935534925599052957664763924588408,0.0285
0,22,37282995753718721246337849530764940593,0.0285
0,23,311438838282995048180606012015050133491,0.043
0,24,277979528023272080524284751351932905333,0.03
0,25,204841989850188732688267185454014310955,0.04
0,26,253210179670384993142482139382919559530,0.0405
0,27,185758165922010739684442215232863737683,0.038
0,28,5132521019220546727713429670810981696,0.0355
0,29,18862654494724276860877110608827945866,0.029
0,30,3823652798885542073084870515087870690,0.0365
0,31,259834806183018682086630169394575944945,0.03
0,32,203728758736159410425321767856232710530,0.031
0,33,292825688316220841041326068268604326888,0.0385
0,34,322523437577920402832730517114620976112,0.0255
0,35,115958087028209188680037331335846313782,0.026
0,36,27515866872583420575652983783663937907,0.0265
0,37,136953039713364469725553242494441133811,0.038
0,38,54277388223568083261890667567779318995,0.0255
0,39,231718176215809168538327770336099985877,0.03
1,0,191479132799767503553177096349773424088,0.03509592887225082
1,1,135467912498414550665130075325236165432,0.04445484323818437
1,2,201793940277860978487233239227712938403,0.03696771174543753
1,3,76177374542197161451726106066535896563,0.03228825456247075
1,4,329840029453630324753221078876899042033,0.029948525970987367
