sample_id,iteration,seed,Percentage of burned trees
0,0,6162961283163862125684336470357099593,0.019
0,1,101649471688653863930822266818403915242,0.033
0,2,216837661314011096387824434049524317771,0.0295
0,3,53547529138859905520175384762159150123,0.029
0,4,274617877897933080069282440409839818070,0.026
0,5,35684285051875375197583196512746931607,0.038
0,6,9893551065556456052515046322409142861,0.026
0,7,180960148340379037418915532737416090152,0.0385
0,8,183898082840329890298048815665814111654,0.0375
0,9,24809609753407760364807533926700640984,0.031
0,10,129894723616125571606584037393688073163,0.035
0,11,130162185277017111007349865666662420266,0.028
0,12,155627716094452333833570385507220311448,0.0265
0,13,29054870210027926436824840772600500087,0.0315
0,14,83836575741056583787065322410145617764,0.029
0,15,312827539117625983373852681567392055553,0.0315
0,16,9999919602586109852319961268078989669,0.0365
0,17,4022486295418428900338449857046080969,0.0285
0,18,312756149041138973916034677976524911471,0.028
0,19,3094049185581956640856333398407757803,0.03
0,20,313142966211513189388220198956083510154,0.039
0,21,44152711488650767392391728232230357005,0.0285
0,22,321790233632433727083519266736491071930,0.0245
0,23,20783364082439426714157916685003357446,0.0215
0,24,265210014235876551949408235284045448309,0.0325
0,25,85949040415663417963702414374950400827,0.0225
0,26,51235790969325859812611096158968229060,0.0305
0,27,192830735271431032099616738189409128207,0.024
0,28,7168036059306210552799066358015410650,0.029
0,29,38413637547163620870157504109426381929,0.021
0,30,46622213973505425382592345883666922759,0.0365
0,31,269388145108436763170374283506915432410,0.0245
0,32,332551680572331987844854446612336415857,0.019
0,33,176777792143823868817191085758073375163,0.03
0,34,76676997099960104213929549233713711572,0.022
0,35,183040145495700427034932252039193763761,0.0345
0,36,24978454081971378791693932490541745582,0.0255
0,37,113175805148589247117554706828082473272,0.021
0,38,136188001527197594580517745699771141900,0.024
0,39,143473498478481958804303978880333054907,0.034
1,0,93643193481721318203464082019662380840,0.031820308844174076
1,1,252005697831079495212511122892513306900,0.029480580252690687
1,2,206741971537923484789905866802529233360,0.03603182030884417
1,3,154470922639130179303362907120751705664,0.029948525970987367
1,4,48093956699097457402593844415491381320,0.02573701450631727
1,5,94234195315578828128031214017132743702,0.02901263453439401
1,6,272391025537163569163476674133804923979,0.023865231633130556
1,7,74137634680998461683301725853164118813,0.028076743097800654
1,8,74111554998604627560476821694180671822,0.022461394478240523
1,9,46346286236973355374718969124969916276,0.040243331773514274
1,10,235569229126831939807032304884091188349,0.022929340196537203
1,11,201660226811197832364561564383973520572,0.02901263453439401
1,12,35584141028977871784728323384203815923,0.02526906878802059
1,13,289597163204605276603428230980310159315,0.03228825456247075
1,14,221450828284443944783493822038430283644,0.02667290594291062
1,15,88157017001937007204894561746806604626,0.029948525970987367
1,16,24080159605073208852184196626651829812,0.022929340196537203
1,17,233138697285417886222696925964580810979,0.027608797379503978
1,18,96098740414347968431945913611765812738,0.026204960224613945
1,19,282245258535195246376870305877085345505,0.020121665886757137
1,20,54937640333020424680117044975445238891,0.027608797379503978
1,21,319144275659203934416394937276103579020,0.030416471689284044
1,22,110377384302862814816382243814603996790,0.029480580252690687
1,23,160975211114338798745334381599092672856,0.023865231633130556
1,24,73716728863072017423285816715528764542,0.02573701450631727
1,25,45844981715955834199509382789479157908,0.029480580252690687
1,26,205996185802113891411908751708828803119,0.029948525970987367
1,27,326363313804999570770164612196400610302,0.0271408516612073
1,28,80415354734616075514789206155496489854,0.01544220870379036
1,29,291061782618865970211133690631517483146,0.029480580252690687
1,30,303506990883563300761422547787913809175,0.03369209171736079
1,31,239373395267220966920087918162722879924,0.030416471689284044
1,32,11947408156124210912162990718093893451,0.029948525970987367
1,33,71650832171558346987397860566451509427,0.03462798315395414
1,34,98487182442113774161360278948594871461,0.030416471689284044
1,35,211533792268021214282511783422604589987,0.024333177351427236
1,36,224365299440897778978612702185802836403,0.02339728591483388
1,37,322601513911638149989458172802392746752,0.028076743097800654
1,38,37106817991789931632533398421055148192,0.028076743097800654
1,39,134814830682301721174696969438987164833,0.030416471689284044
2,0,6907648653310200596633117547398444047,0.027692307692307693
2,1,54531146854430153345270274511363768915,0.02945054945054945
2,2,133718956976854700323350895576980401721,0.027692307692307693
2,3,153676847245159851292485895433739048873,0.02989010989010989
2,4,92633639631234490071434165507613811169,0.03868131868131868
2,5,271326116374194843911358809320939854929,0.03032967032967033
2,6,316717965358657311647493059182620995883,0.023736263736263738
2,7,23978749770206171608577804879916002055,0.01978021978021978
2,8,10615311055053852824618238704311567333,0.026813186813186812
2,9,91771342883661053465598569817767022926,0.02197802197802198
2,10,86280704269521625138978461455360199316,0.036923076923076927
2,11,287351707074128700900071685846343430351,0.03164835164835165
2,12,315490788226163779724597656783579879334,0.026813186813186812
2,13,91232652509031935269228643381113643350,0.027252747252747254
2,14,38855499202775930391987352359788890638,0.03208791208791209
2,15,254311697849102199736862882049646448251,0.03428571428571429
2,16,107587373176408436614641200168625739441,0.03076923076923077
2,17,13412503539757374790613717835961198928,0.0210989010989011
2,18,226935956632525557064551232441360011741,0.03736263736263736
2,19,284207105560473216337137457134697294515,0.03164835164835165
2,20,105474427478805237637228667156335792219,0.03296703296703297
2,21,122202149873164840011050277653313592244,0.027692307692307693
2,22,212448085122936890595111652583504078253,0.03208791208791209
2,23,328970425304361884062581909298778301243,0.023736263736263738
2,24,31168825833008527979444091027219722160,0.028131868131868132
2,25,14708651170850237041472004478859970564,0.03208791208791209
2,26,44683885039982845982493745900912953351,0.03824175824175824
2,27,127341528893193922683941977870054577558,0.027692307692307693
2,28,242420915461075415948656991184863955545,0.028131868131868132
2,29,52696586678899619489351318156072859342,0.03824175824175824
2,30,23930399474928419626147820367007257986,0.024175824175824177
2,31,187572605543119320469564646398993209369,0.03296703296703297
2,32,254601110718131827949659576082940362659,0.03428571428571429
2,33,267696526061463537870702748801758816938,0.03032967032967033
2,34,105308864018673678569785942446209739526,0.036483516483516484
2,35,338967696168666808767798971507799724225,0.026373626373626374
2,36,286472733144593074329318156896065173875,0.03076923076923077
2,37,104021849243811777229199581424591952257,0.02241758241758242
2,38,170381015059985811303731746285896361148,0.036483516483516484
2,39,281851711478608045374108910591020091667,0.027252747252747254
3,0,32156918324053012115820808420552900129,0.020721094073767096
3,1,266559567783474261849958850156122220217,0.036469125569830084
3,2,79192913827596639656590426475888993380,0.029423953584749276
3,3,242783006521511238659952693790210165608,0.04144218814753419
